-50 101
-48 66
-46 82
-44 127
-42 152
-40 181
-38 318
-36 506
-34 777
-32 1236
-30 1914
-28 3224
-26 4834
-24 6400
-22 8088
-20 9085
-18 10253
-16 11419
-14 12260
-12 13078
-10 13890
-8 14322
-6 14734
-4 14611
-2 14527
0 14402
2 14106
4 13652
6 13074
8 12711
10 12516
12 12008
14 11280
16 10695
18 10360
20 9263
22 7888
24 5005
26 2375
28 1181
30 534
32 283
34 159
36 96
38 71
40 50
42 40
44 34
46 20
48 17
