40 199
40.5 142
41 167
41.5 124
42 169
42.5 160
43 192
43.5 205
44 222
44.5 275
45 283
45.5 323
46 334
46.5 371
47 456
47.5 494
48 572
48.5 670
49 695
49.5 883
50 1072
50.5 1172
51 1353
51.5 1555
52 1949
52.5 2375
53 2786
53.5 3541
54 4391
54.5 5514
55 6902
55.5 9105
56 12072
56.5 16732
57 24445
57.5 35389
58 45843
58.5 45571
59 32407
59.5 17964
60 9589
60.5 5228
61 3051
61.5 2003
62 1268
62.5 880
63 681
63.5 500
64 447
64.5 311
65 262
65.5 238
66 227
66.5 192
67 190
67.5 150
68 148
68.5 141
69 123
69.5 108
70 102
70.5 84
71 87
71.5 72
72 58
72.5 66
73 84
73.5 62
74 63
74.5 57
75 56
75.5 50
76 40
76.5 49
77 45
77.5 45
78 45
78.5 40
79 30
79.5 45
