-10 0
-9.8 1
-9.6 0
-9.4 0
-9.2 0
-9 0
-8.8 0
-8.6 0
-8.4 0
-8.2 0
-8 0
-7.8 0
-7.6 0
-7.4 1
-7.2 0
-7 0
-6.8 0
-6.6 0
-6.4 1
-6.2 1
-6 1
-5.8 5
-5.6 2
-5.4 1
-5.2 2
-5 2
-4.8 1
-4.6 2
-4.4 3
-4.2 2
-4 2
-3.8 6
-3.6 3
-3.4 3
-3.2 8
-3 20
-2.8 19
-2.6 18
-2.4 21
-2.2 32
-2 68
-1.8 86
-1.6 87
-1.4 123
-1.2 162
-1 164
-0.799999999999999 245
-0.6 242
-0.399999999999999 261
-0.199999999999999 260
0 259
0.200000000000001 209
0.4 209
0.600000000000001 188
0.800000000000001 154
1 141
1.2 132
1.4 76
1.6 68
1.8 52
2 47
2.2 32
2.4 25
2.6 20
2.8 21
3 10
3.2 8
3.4 4
3.6 3
3.8 2
4 3
4.2 1
4.4 3
4.6 1
4.8 0
5 1
5.2 0
5.4 3
5.6 0
5.8 1
6 2
6.2 0
6.4 1
6.6 0
6.8 3
7 1
7.2 1
7.4 1
7.6 0
7.8 0
8 0
8.2 0
8.4 0
8.6 0
8.8 0
9 0
9.2 0
9.4 0
9.6 0
9.8 0
