b_t0	-36	1.	-100. 100.
b_a0	-1.30	0.01	-50 +300
b_a1	-0.0136	0.001	-30 +30
b_a2	9.e-4	1.e-4	-30 +30
b_b0	29.9	0.5	-30 +30
b_b1	16.51	0.01	-30 +30
b_b2	-0.04	1.e-3	-30 +30
