-10 2
-9.8 0
-9.6 1
-9.4 0
-9.2 0
-9 2
-8.8 1
-8.6 1
-8.4 2
-8.2 0
-8 2
-7.8 1
-7.6 3
-7.4 5
-7.2 1
-7 6
-6.8 0
-6.6 2
-6.4 4
-6.2 4
-6 6
-5.8 7
-5.6 5
-5.4 8
-5.2 13
-5 10
-4.8 16
-4.6 16
-4.4 27
-4.2 26
-4 17
-3.8 26
-3.6 38
-3.4 33
-3.2 40
-3 42
-2.8 54
-2.6 68
-2.4 76
-2.2 82
-2 84
-1.8 93
-1.6 102
-1.4 98
-1.2 113
-1 121
-0.799999999999999 129
-0.6 166
-0.399999999999999 125
-0.199999999999999 131
0 136
0.200000000000001 129
0.4 131
0.600000000000001 139
0.800000000000001 121
1 104
1.2 102
1.4 81
1.6 68
1.8 84
2 73
2.2 52
2.4 56
2.6 41
2.8 48
3 36
3.2 23
3.4 12
3.6 24
3.8 20
4 8
4.2 14
4.4 13
4.6 15
4.8 16
5 6
5.2 6
5.4 8
5.6 6
5.8 2
6 5
6.2 6
6.4 4
6.6 1
6.8 4
7 8
7.2 3
7.4 4
7.6 3
7.8 0
8 1
8.2 0
8.4 3
8.6 1
8.8 2
9 0
9.2 2
9.4 1
9.6 2
9.8 3
