#Event Energy_i(MeV)    delta_i(%)       x_i(cm)       y_i(cm) theta_i(mrad)   phi_i(mrad)       x_f(cm)       y_f(cm) theta_f(mrad)   phi_f(mrad)
    58         36.13         20.42        0.3418       -0.5373        -121.2          38.7         18.46         7.797         398.8         844.3
    59         31.43         4.763        0.3826      0.004347         67.22         18.91         2.516         4.298         19.01         778.4
    60          29.6        -1.323       -0.2656        0.1795        -104.6        -37.58         4.115        -7.845         151.2           706
    61            29        -3.335        0.2932       -0.4647         131.7        -10.61        -6.719       -0.2358          -181         765.8
    62         33.62         12.08        0.4255       -0.3572        -14.27        -15.72         9.528        -3.214         179.1           768
    63         41.19         37.29       0.08818       -0.3762        -164.4         26.19          29.4         7.268         536.2         855.1
    64         28.92         -3.61      -0.08569        -0.644         34.03        -25.62        -2.903        -3.242        -100.2         773.2
    66         36.33         21.09         0.501        0.2228         114.1        -26.81         15.84        -2.809         184.8         780.8
    67         29.53        -1.565        0.3499       -0.3623        -92.62        -7.908         1.773        -6.302         63.53         738.9
    68         28.48        -5.054       -0.1799      -0.07858         47.21         -28.7        -5.051        -5.732        -94.81         747.1
    69         32.84         9.464        0.4929      -0.09722         107.7         7.736          5.89         1.602         28.29         793.3
    70         26.85        -10.51        0.3039        -0.192         121.3        -22.08        -14.84        -2.454        -308.6         753.3
    71         27.73        -7.583       0.04009       -0.4116         116.9        -18.32        -10.47        -2.215        -269.7         779.5
    72          36.3         20.99       -0.2497       0.06978         2.553        -17.36         17.42        -2.649         255.4         757.1
    73         24.56        -18.14        0.3116      -0.09896         162.3         31.67        -29.41         2.319        -539.3         775.6
    74         40.59         35.29        0.0989     -0.002178         8.226         31.86         27.68         6.559         420.3         836.2
    75         32.45         8.178        0.3735      -0.08912         157.8         8.517         3.989        0.5754        -61.17         785.1
    76         29.88       -0.3841      -0.04116        0.1587        -52.29         4.027         3.467          1.22           120         806.4
    77         33.08         10.27       -0.3262        0.4136         158.3        -24.03         7.521        -1.991         9.264         777.6
    78         37.93         26.43      -0.09692        0.5943         128.8        -22.02         21.42        -2.605         257.7         758.2
    79         38.25         27.51       -0.4503        0.3604        -68.67        -3.261         23.24         1.872         442.6         793.5
    80          25.2        -16.01        0.1716        0.5117         15.32         7.199        -15.38         3.466        -283.6         814.8
    81         32.66         8.862        0.2031        0.4607        -82.27        -8.117         9.823       -0.9676         234.4         789.4
    82         40.11          33.7       -0.1207        0.4681          34.9        -12.89         25.98        -2.491           383         759.8
    83         39.45         31.51        0.1075        0.3527        -16.87        -23.32         23.13        -3.955         376.9         761.5
    84         33.82         12.73       -0.1863        0.3504         146.7         23.64         9.836         3.332         50.25         806.1
    85         29.22        -2.597       -0.2368        0.2302         -46.7          30.1        0.9893           3.2         57.16         825.8
    86         39.36         31.19       -0.0565       -0.4544        -111.5        -4.884         22.92        -3.843         422.4         756.3
    87         33.95         13.18       -0.6368       0.08987         62.98        -39.52         11.08        -7.191         164.7         742.8
    88         40.25         34.15      -0.09182       -0.5397        -155.5        -31.22         22.48        -10.02           456         705.5
    89          32.4         8.002        0.4437        0.1141          38.7         13.54         5.799         2.437         62.02         807.5
    90         38.56         28.55       -0.4498       -0.1325        -24.11        -9.777         22.61        -3.211         392.4           768
    91         33.33         11.09        0.3227       -0.4532        -161.3         30.14         13.75         6.325         317.9           844
    92         36.91         23.03      -0.05689       -0.6103        -13.28        -4.801         18.35        -2.232         318.3           772
    93         37.93         26.44        0.1998       -0.2772       -0.9883        -35.63         18.79        -7.028         303.6         752.7
    94          30.6         1.992        0.3818        0.4653        -88.72         13.72         4.807         7.671         143.1         821.8
    95         37.02         23.41        0.2622        0.3347         59.82         14.86         18.72         3.538         261.9         790.6
    96         32.72         9.056       -0.1053        0.5361           141         32.68         6.185         3.689         31.24         803.1
    97         37.47          24.9        0.5791        0.0326        -80.31        -23.98         17.78        -5.172         366.4         764.8
    98         31.63         5.434        0.1708        0.2158        -51.04        -29.34         5.954        -4.421         127.3         741.8
    99         34.87         16.24       -0.3614       -0.4221          93.3         6.557         13.96        0.4245         180.8           793
   100         25.88        -13.74      -0.08642       -0.6341        -74.06         29.34        -6.243         5.257        -58.02           833
   101          29.3         -2.35        0.3083       -0.1375        -44.93        -27.71        0.4831        -4.615         83.42         790.6
   102          37.7         25.66       -0.4878      -0.01315         34.96        -8.668         21.41        -1.992         356.2         779.9
   103         27.95        -6.842       -0.5423       -0.1083        -111.7        -27.24         1.716        -7.862         112.6         719.9
   104         25.22        -15.92        0.0612       0.03635         115.3        -13.18        -21.08        -2.795        -412.1         760.5
   105         35.29         17.62        0.1351       -0.4059         74.94         1.511         14.09       -0.3698         172.9         792.4
   106         28.08        -6.395        0.2115        0.2009         6.794         32.66        -5.452         6.771        -97.64         821.6
   107         39.87         32.91        -0.153       0.02926         125.8         2.308         27.65        0.6262         347.9         779.7
   108         36.53         21.76        0.2764        0.2611         155.4         30.36         17.94         3.273         188.5         796.8
   109         40.47         34.89       -0.1239        0.4692        -87.06        -7.413         26.04        -1.137         476.7         774.3
   110         25.37        -15.42       -0.5511      -0.04697         3.392        -1.023        -10.92       -0.1247          -185         665.6
   111         31.31         4.375       -0.2945        0.2447        -2.077        -32.38         5.395        -5.106         94.94         743.1
   112         28.29          -5.7       -0.5829       0.02814         38.76         1.155        -3.381       -0.3066        -88.54         792.8
   113         27.58        -8.058        0.4222          0.47         1.002        -39.42        -6.623        -5.244        -112.8         752.4
   114         27.68        -7.725       -0.3173        0.5244        -1.483        -26.62        -3.558        -3.277        -17.86         763.6
   115         38.29         27.64       -0.5784        -0.259         161.8         20.39         24.43         2.023         309.7         794.3
   116         32.62         8.718       -0.1839       -0.3405         81.97        -20.77         6.908        -3.924         77.71         762.7
   117         24.14        -19.54       -0.3299        0.3644         89.55         20.41         -22.1         3.707        -378.2         797.8
   118         29.32        -2.257        0.4326        -0.141         94.23        -20.08        -5.458         -5.67        -181.2         765.2
   119         38.65         28.82       -0.1487       -0.2872        -158.4        -7.399         23.49       -0.9092         476.5         781.8
   120         40.39         34.64        0.1414      -0.02067         89.97        -4.651         27.21       -0.2939         364.4         782.1
   121         40.49         34.97       -0.3517        0.2218         -64.6         -5.14         26.55       -0.8496         449.8         766.3
   122         39.37         31.22      0.001415       -0.2545        -148.4         26.47         25.71         6.625         482.4           838
   123          27.8        -7.317       -0.5093       0.06354         88.57        -19.43        -7.324        -2.844        -188.4         766.8
   124         38.78         29.27       -0.5842       -0.1112        -70.79       -0.8574         24.45        0.4613         426.4         783.5
   125          26.5        -11.66       -0.2585        0.2971         7.635        -2.455         -8.21        0.8479          -134         774.5
   126         41.46          38.2       -0.3146        0.3121         22.99         4.052         30.11         1.928         458.1         796.8
   127         36.15          20.5       0.07214        0.4937         152.1          30.6         16.31         3.321           158         771.8
   128         41.62         38.73       0.08152        0.2171         32.32        -14.28         28.98        -2.288         439.2         770.2
   129         24.65        -17.84      -0.06711        0.1881        -32.45         18.51        -13.03         5.084        -175.7         825.1
   130         41.05         36.84       -0.1942       -0.3464         82.11         14.58         29.43          1.53         375.4         780.6
   131         26.02        -13.25        0.1427       -0.3868        -31.52        -31.46        -8.054        -7.936        -100.1         741.9
   132         41.25         37.48       -0.5375       -0.2335         73.24        -23.96         29.67        -3.522         447.3         781.7
   133         27.59        -8.038      0.001629        0.5307        -83.12         6.913        -1.569         5.656         39.44         808.9
   134         41.65         38.84        0.5267       -0.1926         128.5         15.52         31.26         1.368         393.5         799.3
   135         29.67        -1.097        0.5256         0.375         116.7         29.99        -5.514         2.962        -186.1         800.3
   136         39.76         32.54       -0.4468     -0.008816         36.44        -2.001         26.02        -1.195         381.4         775.2
   137         35.34         17.81       0.07085       -0.2004        -108.8         5.722         16.28         1.113         338.3         791.9
   138         33.13         10.44       -0.2369        0.5802         158.5        -7.652           7.4         -1.88        -13.34         767.4
   139         39.24          30.8       -0.1422        0.3717        -3.195         29.41          24.9         6.064         384.7         823.9
   140         35.26         17.54       -0.4402       -0.3132         115.6         16.52         14.76         1.694         179.3         798.9
   141         34.82         16.07        -0.263       -0.1611          67.8         -13.5         13.47       -0.9254         449.8         739.4
   142         31.08         3.597        0.1569        0.1821        -68.19         2.237         6.101         1.807         142.9         801.2
   143          31.1         3.667        0.4252        0.4294         60.84        -33.06          1.44         -5.26        -16.77           751
   144         30.15         0.496       -0.1271       -0.4605         99.24         19.66        -1.189         2.835        -96.55         792.4
   145         39.49         31.64       0.06278        0.5626           118         33.44         26.17         4.653         321.7         791.2
   146         24.23        -19.23       -0.3956        0.4749        -116.2         14.98        -7.591         10.68        -49.88         820.2
   147         36.33         21.09       -0.4445        0.1149         70.58         16.83         18.28         3.227         247.2           803
   148         26.04         -13.2      0.001919        0.5954        -10.03         20.63        -10.78         7.701        -185.5           828
   149         39.31         31.03         0.397       -0.4475         100.2         28.12         24.85         3.646           312         804.9
   150         32.18         7.253       -0.2247        0.4141         4.748         3.946         7.087         3.105         108.9           808
   151         35.14         17.13        0.1679       -0.2206         -7.32         28.48          14.5         3.039         254.2         816.5
   152         31.92         6.383        0.5122        0.3483        -76.65         2.657         7.375         2.015         166.9         799.3
   153         36.31         21.03        0.3714       -0.3514        -105.2        -36.43         14.45         -9.29         303.8         708.4
   154          35.2         17.32       -0.5539      -0.04748         63.85         21.28         15.62         3.953         220.5         804.1
   155         32.73         9.114      -0.01432         0.599        -74.33        -13.34         9.682       -0.8795         218.1         776.7
   156         31.46          4.87        0.1124        0.6322         115.4         -31.5         2.167        -3.805        -54.95         764.4
   157         25.05        -16.49         0.385       -0.2755        -46.71         31.82        -12.01         4.667        -132.4         820.4
   158         24.81         -17.3        0.3503        0.2053        -84.78        -14.63        -9.248         -2.29        -95.34         772.5
   159         34.07         13.57      -0.02547        0.5315         150.3         31.07         10.12         2.825         56.63         803.5
   160         36.07         20.22       -0.3748        0.3158        -80.29         7.869         19.02         4.859         366.8         815.4
   161         41.58          38.6        0.1101         -0.22        -143.8         6.388         27.78       -0.3294         552.1         806.7
   162         38.17         27.23        0.2067        0.1753        -61.23        -7.331         20.88        -2.083         374.8         758.8
   163         25.15        -16.17        0.3425        0.4885         140.9        -11.56        -24.38        -2.428        -419.6           776
   164         29.09        -3.034       -0.1306       -0.1884        -166.9        -31.97         4.645        -11.38         220.4         674.5
   165         30.74         2.452        0.3925         0.164         68.18        -7.905        0.3658        -1.881        -65.28         776.7
   166         30.42         1.385      -0.08106      -0.04344         141.5         6.884        -1.501       0.08296        -97.83         757.7
